season,celebrity_name,placement,pred_final_rank_survival,pred_final_rank_pct,pred_final_rank_rank,pred_final_rank_new
22,Paige VanZant,2,1,1,3,1
22,Nyle DiMarco,1,2,2,2,3
22,Ginger Zee,3,3,3,1,2
22,Wanya Morris,4,4,4,4,4
22,Antonio Brown,5,5,5,5,5
22,Jodie Sweetin,6,6,6,6,6
22,Kim Fields,8,7,8,8,8
22,Von Miller,7,8,7,7,7
22,Doug Flutie,9,9,9,9,9
22,Marla Maples,10,10,10,10,10
22,Mischa Barton,11,11,11,11,11
22,Geraldo Rivera,12,12,12,12,12
23,Laurie Hernandez,1,1,1,4,1
23,James Hinchcliffe,2,2,2,2,3
23,Calvin Johnson Jr.,3,3,3,1,2
23,Jana Kramer,4,4,4,3,4
23,Terra Jole,5,5,5,5,5
23,Marilu Henner,6,6,6,6,6
23,Ryan Lochte,7,7,7,7,7
23,Maureen McCormick,8,8,8,8,8
23,Amber Rose,9,9,9,9,9
23,Vanilla Ice,10,10,10,10,10
23,Babyface,11,11,11,11,11
23,Rick Perry,12,12,12,12,12
23,Jake T. Austin,13,13,13,13,13
24,Rashad Jennings,1,1,2,2,3
24,Normani,3,2,1,1,1
24,David Ross,2,3,3,3,2
24,Simone Biles,4,4,4,4,4
24,Bonner Bolton,5,5,5,5,5
24,Nancy Kerrigan,7,6,6,6,6
24,Nick Viall,6,7,7,7,7
24,Heather Morris,8,8,8,8,8
24,Erika Jayne,9,9,9,9,9
24,Mr. T,10,10,10,10,10
24,Charo,11,11,11,11,11
24,Chris Kattan,12,12,12,12,12
25,Jordan Fisher,1,1,1,2,1
25,Lindsey Stirling,2,2,2,3,4
25,Frankie Muniz,3,3,3,1,3
25,Drew Scott,4,4,4,4,2
25,Victoria Arlen,5,5,5,5,5
25,Terrell Owens,6,6,6,6,6
25,Vanessa Lachey,7,7,7,7,7
25,Nikki Bella,8,8,8,8,8
25,Nick Lachey,9,9,9,9,9
25,Sasha Pieterse,10,10,10,10,10
25,Derek Fisher,11,11,11,11,11
25,Debbie Gibson,12,12,12,12,12
25,Barbara Corcoran,13,13,13,13,13
26,Adam Rippon,1,1,1,1,2
26,Josh Norman,2,2,2,2,3
26,Tonya Harding,3,3,3,3,1
26,Mirai Nagasu,4,4,4,4,4
26,Chris Mazdzer,5,5,5,5,5
26,Jennie Finch Daigle,6,6,6,6,6
26,Arike Ogunbowale,7,7,7,7,7
26,Kareem Abdul-Jabbar,8,8,8,8,8
26,Jamie Anderson,10,9,9,9,9
26,Johnny Damon,9,10,10,10,10
27,Evanna Lynch,3,1,1,2,1
27,Milo Manheim,2,2,2,3,4
27,Alexis Ren,4,3,3,1,2
27,Bobby Bones,1,4,4,4,3
27,Juan Pablo Di Pace,5,5,5,5,5
27,Joe Amabile,6,6,6,6,6
27,John Schneider,8,7,8,8,8
27,DeMarcus Ware,7,8,7,7,7
27,Mary Lou Retton,9,9,9,9,9
27,Tinashe,10,10,10,10,10
27,Nancy McKeon,11,11,11,11,11
27,Danelle Umstead,12,12,12,12,12
27,Nikki Glaser,13,13,13,13,13
28,Ally Brooke,3,1,1,1,2
28,Kel Mitchell,2,2,2,3,4
28,Hannah Brown,1,3,3,2,3
28,Lauren Alaina,4,4,4,4,1
28,James Van Der Beek,5,5,5,5,5
28,Sean Spicer,6,6,6,6,6
28,Kate Flannery,7,7,7,7,7
28,Karamo Brown,8,8,8,8,8
28,Sailor Brinkley-Cook,9,9,9,9,9
28,Lamar Odom,10,10,10,10,10
28,Mary Wilson,12,11,11,11,11
28,Ray Lewis,11,12,12,12,12
29,Justina Machado,4,1,3,3,2
29,Kaitlyn Bristowe,1,2,2,2,3
29,Nev Schulman,2,3,1,1,1
29,Nelly,3,4,4,4,4
29,Johnny Weir,6,5,5,5,5
29,Skai Jackson,5,6,6,6,6
29,AJ McLean,7,7,7,7,7
29,Chrishell Stause,8,8,8,8,8
29,Jeannie Mai,9,9,10,9,9
29,Monica Aldama,10,10,9,10,10
29,Veron Davis,11,11,11,11,11
29,Jesse Metcalfe,12,12,12,12,12
29,Anne Heche,13,13,13,13,13
29,Carole Baskin,14,14,14,14,14
29,Charles Oakley,15,15,15,15,15
30,Iman Shumpert,1,1,3,3,4
30,JoJo Siwa,2,2,1,2,1
30,Amanda Kloots,4,3,2,1,2
30,Cody Rigsby,3,4,4,4,3
30,Suni Lee,5,5,5,5,5
30,Melora Hardin,6,6,6,6,6
30,Olivia Jade,8,7,7,7,7
30,Jimmie Allen,7,8,8,8,8
30,"Mike ""The Miz"" Mizanin",9,9,9,9,9
30,Kenya Moore,10,10,10,10,10
30,Melanie C,11,11,11,11,11
30,Matt James,12,12,12,12,12
30,Brian Austin Green,13,13,13,13,13
30,Christine Chiu,14,14,14,14,14
30,Martin Kove,15,15,15,15,15
31,Charli D'Amelio,1,1,2,3,2
31,Gabby Windey,2,2,1,1,3
31,Shangela,4,3,4,4,4
31,Wayne Brady,3,4,3,2,1
31,Daniel Durant,5,5,6,5,5
31,Trevor Donovan,6,6,5,6,6
31,Heidi D'Amelio,8,7,7,7,7
31,Vinny Guadagnino,7,8,8,8,8
31,Jordin Sparks,9,9,9,9,9
31,Jessie James Decker,10,10,10,10,10
31,Selma Blair,12,11,11,11,11
31,Joseph Baena,11,12,12,12,12
31,Sam Champion,13,13,13,13,13
31,Cheryl Ladd,14,14,14,14,14
31,Teresa Giudice,15,15,15,15,15
31,Jason Lewis,16,16,16,16,16
32,Jason Mraz,2,1,4,4,4
32,Xochitl Gomez,1,2,1,3,5
32,Ariana Madix,3,3,2,1,1
32,Charity Lawson,4,4,3,2,3
32,Alyson Hannigan,5,5,5,5,2
32,Harry Jowsey,6,6,6,6,6
