season,week,celebrity_name,judge_share,audience_share,combined_share,final_rank_alt_pct,pred_eliminated_alt_pct,judge_total_score
22,1,Marla Maples,0.08860759493667147,0.11932858636709445,0.20793618130376593,3.0,0,21.0
22,1,Paige VanZant,0.08860759493667147,0.11932858636709445,0.20793618130376593,3.0,0,21.0
22,1,Jodie Sweetin,0.08438818565397284,0.08378466411700161,0.16817284977097446,5.0,0,20.0
22,1,Kim Fields,0.08438818565397284,0.08378466411700161,0.16817284977097446,5.0,0,20.0
22,1,Ginger Zee,0.09704641350206876,0.06696456397623496,0.16401097747830373,7.0,0,23.0
22,1,Nyle DiMarco,0.09704641350206876,0.06696456397623496,0.16401097747830373,7.0,0,23.0
22,1,Wanya Morris,0.09704641350206876,0.06696456397623496,0.16401097747830373,7.0,0,23.0
22,1,Mischa Barton,0.06751054852317827,0.042146592812201525,0.10965714133537979,10.0,0,16.0
22,1,Geraldo Rivera,0.05485232067508234,0.050114990996589434,0.10496731167167178,11.0,0,13.0
22,1,Doug Flutie,0.06329113924047963,0.0,0.06329113924047963,12.0,0,15.0
22,2,Nyle DiMarco,0.0847457627118285,0.13337612638413962,0.21812188909596814,1.0,0,20.0
22,2,Jodie Sweetin,0.08898305084741993,0.11343430724817596,0.2024173580955959,2.0,0,21.0
22,2,Antonio Brown,0.08050847457623708,0.11963802506154998,0.20014649963778708,3.0,0,19.0
22,2,Ginger Zee,0.08898305084741993,0.10927353737616963,0.19825658822358955,4.0,0,21.0
22,2,Von Miller,0.0847457627118285,0.10771394708648722,0.19245970979831573,5.0,0,20.0
22,2,Marla Maples,0.0847457627118285,0.10394957682367312,0.1886953395355016,6.0,0,20.0
22,2,Doug Flutie,0.0847457627118285,0.0939491372356907,0.1786948999475192,7.0,0,20.0
22,2,Kim Fields,0.08050847457623708,0.08339449835107932,0.1639029729273164,8.0,0,19.0
22,2,Paige VanZant,0.1016949152541942,0.05360884984028516,0.15530376509447935,9.0,0,24.0
22,2,Wanya Morris,0.1016949152541942,0.05360884984028516,0.15530376509447935,9.0,0,24.0
22,2,Geraldo Rivera,0.05508474576268853,0.028053144752464308,0.08313789051515283,12.0,1,13.0
22,2,Mischa Barton,0.06355932203387138,0.0,0.06355932203387138,12.0,0,15.0
22,3,Jodie Sweetin,0.09704641350206876,0.11842566487300996,0.2154720783750787,1.0,0,23.0
22,3,Paige VanZant,0.09704641350206876,0.11314964980986583,0.21019606331193458,2.0,0,23.0
22,3,Nyle DiMarco,0.10548523206746604,0.09702479732711827,0.20251002939458432,3.0,0,25.0
22,3,Wanya Morris,0.10126582278476741,0.09656592392470062,0.19783174670946801,4.0,0,24.0
22,3,Kim Fields,0.09282700421937012,0.10268261335268915,0.19550961757205926,5.0,0,22.0
22,3,Ginger Zee,0.08860759493667147,0.10271199502067478,0.19131958995734627,6.0,0,21.0
22,3,Von Miller,0.08438818565397284,0.10331575218684447,0.1877039378408173,7.0,0,20.0
22,3,Antonio Brown,0.08438818565397284,0.09883081367924618,0.183218999333219,8.0,0,20.0
22,3,Marla Maples,0.08860759493667147,0.08604701090915387,0.17465460584582534,9.0,0,21.0
22,3,Doug Flutie,0.08438818565397284,0.08124577891669701,0.16563396457066987,10.0,0,20.0
22,3,Mischa Barton,0.07594936708857555,0.0,0.07594936708857555,11.0,1,18.0
22,4,Nyle DiMarco,0.10658307210028008,0.1559970765097017,0.2625801486099818,1.0,0,34.0
22,4,Wanya Morris,0.10971786833852361,0.1413861223619379,0.2511039907004615,2.0,0,35.0
22,4,Paige VanZant,0.11285266457676714,0.1373247404715483,0.2501774050483154,3.0,0,36.0
22,4,Ginger Zee,0.11285266457676714,0.13250842754434558,0.24536109212111273,4.0,0,36.0
22,4,Antonio Brown,0.10971786833852361,0.12074324061696429,0.23046110895548788,5.0,0,35.0
22,4,Jodie Sweetin,0.08463949843257536,0.11769736096211501,0.20233685939469037,6.0,0,27.0
22,4,Kim Fields,0.10031347962379301,0.07728746306243293,0.17760094268622595,7.0,0,32.0
22,4,Von Miller,0.10031347962379301,0.07500322114690154,0.17531670077069456,8.0,0,32.0
22,4,Marla Maples,0.08777429467081889,0.042052347324052955,0.12982664199487184,9.0,0,28.0
22,4,Doug Flutie,0.07523510971784475,0.0,0.07523510971784475,10.0,1,24.0
22,5,Nyle DiMarco,0.1340579710144442,0.15041237649292113,0.28447034750736533,1.0,0,37.0
22,5,Paige VanZant,0.11231884057966945,0.15020712119872273,0.26252596177839216,2.0,0,31.0
22,5,Wanya Morris,0.10869565217387367,0.14736534964389736,0.25606100181777103,3.0,0,30.0
22,5,Jodie Sweetin,0.12681159420285262,0.12284910218994523,0.24966069639279787,4.0,0,35.0
22,5,Ginger Zee,0.11594202898546524,0.13031817124217013,0.24626020022763537,5.0,0,32.0
22,5,Von Miller,0.10507246376807788,0.11345998371132505,0.21853244747940292,6.0,0,29.0
22,5,Kim Fields,0.10144927536228208,0.09494894220233685,0.19639821756461895,7.0,0,28.0
22,5,Antonio Brown,0.09420289855069051,0.09043895331868151,0.18464185186937204,8.0,0,26.0
