season,week,n_eliminated,hit_at_2,hit_at_3,boundary_margin
7,9,1,1.0,1.0,0.10083038861529234
7,10,2,1.0,1.0,0.05838729734278514
8,2,1,0.0,1.0,0.01244055617277498
8,3,1,0.0,1.0,0.09590822945919503
8,4,2,0.5,1.0,0.12202800347937376
8,5,1,0.0,0.0,0.15756866098080602
8,6,1,1.0,1.0,0.13332156495344188
8,7,1,1.0,1.0,0.041587821011550175
8,8,1,1.0,1.0,0.05274524675848963
8,9,1,1.0,1.0,0.19197746852295178
8,10,1,1.0,1.0,0.242084691824303
8,11,2,1.0,1.0,0.004176209597876124
9,1,2,0.5,1.0,0.0
9,2,1,1.0,1.0,0.0
9,3,2,0.5,0.5,0.051821230126518236
9,4,1,1.0,1.0,0.029340330680966198
9,5,1,0.0,1.0,0.10736673787399612
9,6,2,0.5,1.0,0.14965229957900222
9,7,2,1.0,1.0,0.10893113399622306
9,8,1,1.0,1.0,7.383426517756919e-05
9,9,1,0.0,1.0,0.07893848561517425
9,10,2,0.5,1.0,0.07679348931341379
10,2,1,0.0,0.0,0.07046068458126115
10,3,1,1.0,1.0,0.020481808616807373
10,4,1,1.0,1.0,0.09548039916602113
10,5,1,1.0,1.0,0.22707740327953593
10,6,1,1.0,1.0,0.024081441995550346
10,7,1,1.0,1.0,0.11807708450627272
10,8,1,1.0,1.0,0.10194338074682674
10,9,1,1.0,1.0,0.14494794145688672
10,10,2,1.0,1.0,0.031474783382624105
11,1,1,1.0,1.0,0.0
11,2,1,1.0,1.0,0.02796001559680386
11,3,1,1.0,1.0,0.11148674743495748
11,4,1,1.0,1.0,0.11146407411166218
11,5,1,1.0,1.0,0.13900727706117927
11,6,1,0.0,0.0,0.023556166848176907
11,7,1,0.0,0.0,0.12962110772479318
11,8,1,1.0,1.0,0.10043953450218368
11,9,1,0.0,1.0,0.23966167111824374
11,10,2,1.0,1.0,0.11636655725505662
12,2,1,0.0,1.0,0.002333392968977055
12,3,1,1.0,1.0,0.11873569675105022
12,4,1,1.0,1.0,0.12138214198788058
12,5,1,0.0,0.0,0.014350607251689768
12,6,1,1.0,1.0,0.019637360811115917
12,7,1,0.0,1.0,0.030214332257288534
12,8,1,1.0,1.0,0.036484857416749394
12,9,1,1.0,1.0,0.07582531100711315
12,10,2,0.5,1.0,0.002054044791157894
13,1,1,1.0,1.0,0.0052714972731849885
13,2,1,0.0,0.0,0.030039612235529867
13,3,1,0.0,0.0,0.08622848448111423
13,4,1,0.0,0.0,0.0658000261933388
13,5,1,1.0,1.0,0.072434051078125
13,6,1,1.0,1.0,0.15372723634218943
13,7,1,1.0,1.0,0.024636460849448538
13,8,1,1.0,1.0,0.13331651584209292
13,9,1,1.0,1.0,0.13368147820799958
13,10,2,1.0,1.0,0.025371530685608823
14,2,1,1.0,1.0,0.04493880279751644
14,3,1,0.0,0.0,0.04399844182276938
14,4,1,1.0,1.0,0.049329220646187416
14,5,1,1.0,1.0,0.03150610384716668
14,6,1,1.0,1.0,0.14109915624983121
14,7,1,1.0,1.0,0.13636812119201516
14,8,2,1.0,1.0,0.013015471964490849
14,9,1,1.0,1.0,0.02519678211130652
14,10,2,1.0,1.0,0.02211378101707706
15,1,1,1.0,1.0,0.03993300029107716
15,2,1,0.0,1.0,0.03929706076626366
15,3,2,0.0,0.5,0.09880939239257205
15,4,1,1.0,1.0,0.015347949609529676
15,6,1,0.0,0.0,0.07187300917631984
15,8,2,0.5,0.5,0.06551500230119497
15,9,2,0.5,1.0,0.07032101517648381
15,10,2,1.0,1.0,0.14411065608512064
16,2,1,1.0,1.0,0.1370554942121137
16,3,1,1.0,1.0,0.0749842920750512
16,4,1,1.0,1.0,0.026591308233728655
16,5,1,1.0,1.0,0.062145009562321885
