season,week,celebrity_name,judge_rank,audience_share_rank,final_rank,pred_eliminated,survival_prob
2,2,Tia Carrere,5.0,2.0,5.0,0,0.9531576395383506
2,2,George Hamilton,5.0,5.0,6.0,0,0.9174974830179357
2,2,Tatum O'Neal,8.0,1.0,7.0,0,0.8755698089743502
2,2,Lisa Rinna,7.0,7.0,8.0,0,0.8381750837275703
2,2,Master P,9.0,9.0,9.0,1,0.7224841585281017
2,3,Drew Lachey,1.0,5.0,1.0,0,1.0
2,3,Stacy Keibler,1.0,5.0,1.0,0,1.0
2,3,Tia Carrere,3.0,2.0,1.0,0,1.0
2,3,Giselle Fernandez,5.0,1.0,4.0,0,0.9518413526193048
2,3,Lisa Rinna,4.0,7.0,5.0,0,0.9405212707670697
2,3,George Hamilton,5.0,4.0,6.0,0,0.9067323161734067
2,3,Jerry Rice,7.0,3.0,7.0,0,0.8479366080436072
2,3,Master P,8.0,8.0,8.0,1,0.6753582966002611
2,4,Drew Lachey,1.0,4.0,1.0,0,1.0
2,4,Stacy Keibler,2.0,2.0,1.0,0,1.0
2,4,Tia Carrere,4.0,1.0,3.0,0,0.9906062076868409
2,4,Lisa Rinna,2.0,3.0,4.0,0,0.9878622957936661
2,4,Jerry Rice,5.0,5.0,5.0,0,0.8837170383616478
2,4,George Hamilton,6.0,7.0,6.0,0,0.8135606424703095
2,4,Master P,7.0,6.0,7.0,1,0.5604409673513613
2,5,Stacy Keibler,1.0,2.0,1.0,0,0.9696433252196743
2,5,Drew Lachey,2.0,3.0,2.0,0,0.909961565215637
2,5,Lisa Rinna,3.0,1.0,3.0,0,0.8966715586488101
2,5,Tia Carrere,6.0,4.0,4.0,0,0.8069577799525318
2,5,George Hamilton,4.0,6.0,5.0,0,0.7730214569087391
2,5,Jerry Rice,5.0,5.0,6.0,1,0.757993040065337
2,6,Stacy Keibler,1.0,1.0,1.0,0,0.9160210907760518
2,6,Drew Lachey,1.0,2.0,2.0,0,0.8987569445918262
2,6,Lisa Rinna,3.0,3.0,3.0,0,0.8181299643009254
2,6,George Hamilton,4.0,4.0,4.0,0,0.6927208104956804
2,6,Jerry Rice,4.0,5.0,5.0,1,0.6809521090144087
2,7,Stacy Keibler,1.0,1.0,1.0,0,0.9341012713266611
2,7,Drew Lachey,1.0,2.0,2.0,0,0.9137011890186928
2,7,Lisa Rinna,3.0,3.0,3.0,0,0.8527103940174934
2,7,Jerry Rice,4.0,4.0,4.0,1,0.6350909693170973
2,8,Stacy Keibler,2.0,1.0,1.0,0,0.38051753884295114
2,8,Drew Lachey,1.0,2.0,3.0,1,0.363447654070857
2,8,Jerry Rice,3.0,3.0,3.0,1,0.11757075960903252
3,1,Mario Lopez,1.0,11.0,1.0,0,1.0
3,1,Emmitt Smith,2.0,9.0,1.0,0,1.0
3,1,Vivica A. Fox,3.0,5.0,1.0,0,1.0
3,1,Willa Ford,3.0,5.0,1.0,0,1.0
3,1,Joey Lawrence,5.0,7.0,5.0,0,0.9671895458047195
3,1,Monique Coleman,6.0,2.0,6.0,0,0.9483638907083751
3,1,Shanna Moakler,7.0,1.0,7.0,0,0.9374366988091927
3,1,Harry Hamlin,8.0,3.0,8.0,0,0.8956061948097422
3,1,Jerry Springer,9.0,8.0,9.0,0,0.8310690453856773
3,1,Sara Evans,10.0,10.0,10.0,0,0.7835828427413382
3,1,Tucker Carlson,11.0,4.0,11.0,1,0.7666546818530774
3,2,Joey Lawrence,1.0,9.0,1.0,0,1.0
3,2,Monique Coleman,2.0,4.0,1.0,0,1.0
3,2,Emmitt Smith,3.0,3.0,3.0,0,0.9765295699483149
3,2,Willa Ford,5.0,2.0,4.0,0,0.9703773132665158
3,2,Mario Lopez,7.0,1.0,5.0,0,0.9686191102643548
3,2,Vivica A. Fox,3.0,6.0,6.0,0,0.9236341238875363
3,2,Shanna Moakler,6.0,5.0,7.0,0,0.9051865583874803
3,2,Harry Hamlin,7.0,7.0,8.0,0,0.8532246505919671
3,2,Sara Evans,7.0,8.0,9.0,0,0.846495906968137
3,2,Jerry Springer,10.0,10.0,10.0,1,0.7562323043994674
3,3,Monique Coleman,1.0,5.0,1.0,0,1.0
3,3,Vivica A. Fox,1.0,8.0,2.0,0,0.9750610410815569
3,3,Mario Lopez,4.0,1.0,3.0,0,0.9538655965468577
3,3,Joey Lawrence,4.0,2.0,4.0,0,0.9456124433404078
3,3,Sara Evans,3.0,7.0,5.0,0,0.9411893458900294
3,3,Willa Ford,4.0,3.0,6.0,0,0.9261690135267663
3,3,Harry Hamlin,4.0,4.0,7.0,0,0.9144734281097419
3,3,Emmitt Smith,9.0,6.0,8.0,0,0.8401573319049547
