season,week,celebrity_name,weight_audience,weight_judge,combined_score_adaptive,adaptive_rank,pred_eliminated_adaptive,judge_total_score
19,4,Betsey Johnson,0.546211715726001,0.453788284273999,0.09714501121761757,7.0,0,29.0
19,4,Tommy Chong,0.546211715726001,0.453788284273999,0.09242951816103372,8.0,0,28.0
19,4,Jonathan Bennett,0.546211715726001,0.453788284273999,0.0870385719203033,10.0,1,24.0
19,4,Michael Waltrip,0.546211715726001,0.453788284273999,0.07154859246559203,10.0,0,25.0
19,5,Lea Thompson,0.5244918662403709,0.4755081337596291,0.12796602187455225,1.0,0,34.0
19,5,Janel Parrish,0.5244918662403709,0.4755081337596291,0.12678877726265703,2.0,0,33.0
19,5,Sadie Robertson,0.5244918662403709,0.4755081337596291,0.12644305668218142,3.0,0,36.0
19,5,Alfonso Ribeiro,0.5244918662403709,0.4755081337596291,0.12590658348922804,4.0,0,34.0
19,5,Bethany Mota,0.5244918662403709,0.4755081337596291,0.11897551950456631,5.0,0,32.0
19,5,Antonio Sabato Jr.,0.5244918662403709,0.4755081337596291,0.11295497697228554,6.0,0,28.0
19,5,Jonathan Bennett,0.5244918662403709,0.4755081337596291,0.09662697037190526,7.0,0,24.0
19,5,Tommy Chong,0.5244918662403709,0.4755081337596291,0.09576210048196662,8.0,0,23.0
19,5,Michael Waltrip,0.5244918662403709,0.4755081337596291,0.06857599336047748,9.0,0,20.0
19,6,Alfonso Ribeiro,0.5,0.5,0.1315327188609235,1.0,0,39.0
19,6,Sadie Robertson,0.5,0.5,0.12616061693823963,2.0,0,35.0
19,6,Janel Parrish,0.5,0.5,0.12574560649729818,3.0,0,33.0
19,6,Bethany Mota,0.5,0.5,0.12475811103888076,4.0,0,36.0
19,6,Lea Thompson,0.5,0.5,0.1171433400383197,5.0,0,32.0
19,6,Jonathan Bennett,0.5,0.5,0.10536703832037372,6.0,0,32.0
19,6,Antonio Sabato Jr.,0.5,0.5,0.09805571885773698,7.0,0,28.0
19,6,Tommy Chong,0.5,0.5,0.09277093332843711,9.0,1,28.0
19,6,Michael Waltrip,0.5,0.5,0.07846591611961974,9.0,0,30.0
19,7,Bethany Mota,0.4755081337596291,0.5244918662403709,0.14943016639655718,1.0,0,37.5
19,7,Lea Thompson,0.4755081337596291,0.5244918662403709,0.1436048284809546,2.0,0,35.0
19,7,Janel Parrish,0.4755081337596291,0.5244918662403709,0.14168675921758167,3.0,0,33.5
19,7,Alfonso Ribeiro,0.4755081337596291,0.5244918662403709,0.13870299582574497,4.0,0,34.0
19,7,Sadie Robertson,0.4755081337596291,0.5244918662403709,0.13180335078731711,5.0,0,31.0
19,7,Tommy Chong,0.4755081337596291,0.5244918662403709,0.10951733204103109,6.0,0,30.0
19,7,Antonio Sabato Jr.,0.4755081337596291,0.5244918662403709,0.10940378970054321,7.0,0,29.5
19,7,Michael Waltrip,0.4755081337596291,0.5244918662403709,0.07585077755006729,8.0,1,28.0
19,8,Janel Parrish,0.4537882842739991,0.5462117157260009,0.17065018639756185,1.0,0,43.0
19,8,Alfonso Ribeiro,0.4537882842739991,0.5462117157260009,0.16779462864725608,2.0,0,41.0
19,8,Bethany Mota,0.4537882842739991,0.5462117157260009,0.16654645560389747,3.0,0,40.0
19,8,Sadie Robertson,0.4537882842739991,0.5462117157260009,0.158976561738326,4.0,0,38.0
19,8,Lea Thompson,0.4537882842739991,0.5462117157260009,0.14578716645218948,5.0,0,32.0
19,8,Tommy Chong,0.4537882842739991,0.5462117157260009,0.11442507457065579,6.0,0,29.0
19,8,Michael Waltrip,0.4537882842739991,0.5462117157260009,0.07581992658989306,7.0,1,25.0
19,9,Janel Parrish,0.4364851047612713,0.5635148952387288,0.18608214826625366,1.0,0,38.5
19,9,Alfonso Ribeiro,0.4364851047612713,0.5635148952387288,0.18114994922210229,2.0,0,38.5
19,9,Bethany Mota,0.4364851047612713,0.5635148952387288,0.17863228238650877,3.0,0,37.0
19,9,Sadie Robertson,0.4364851047612713,0.5635148952387288,0.17276227052361173,4.0,0,36.5
19,9,Lea Thompson,0.4364851047612713,0.5635148952387288,0.16392616240883298,5.0,0,35.0
19,9,Tommy Chong,0.4364851047612713,0.5635148952387288,0.11744718719242724,6.0,1,28.5
19,10,Janel Parrish,0.4238405844044235,0.5761594155955765,0.228432157279242,1.0,0,39.0
19,10,Bethany Mota,0.4238405844044235,0.5761594155955765,0.2158094256307141,2.0,0,38.0
19,10,Alfonso Ribeiro,0.4238405844044235,0.5761594155955765,0.21500309289472513,3.0,0,37.5
19,10,Sadie Robertson,0.4238405844044235,0.5761594155955765,0.20224525057705817,4.0,0,37.0
19,10,Tommy Chong,0.4238405844044235,0.5761594155955765,0.13851007361794493,5.0,1,31.0
19,11,Janel Parrish,0.4151716360042487,0.5848283639957512,0.28598781379188176,1.0,0,38.99980000000001
19,11,Bethany Mota,0.4151716360042487,0.5848283639957512,0.2190653115341977,4.0,1,38.0
19,11,Sadie Robertson,0.4151716360042487,0.5848283639957512,0.2287683143829676,4.0,1,39.333200000000005
19,11,Alfonso Ribeiro,0.4151716360042487,0.5848283639957512,0.26617856029057874,4.0,1,40.0
20,1,Nastia Liukin,0.5848283639957513,0.41517163600424867,0.08996631494596022,1.0,0,30.0
20,1,Riker Lynch,0.5848283639957513,0.41517163600424867,0.0894328032226839,2.0,0,31.0
20,1,Rumer Willis,0.5848283639957513,0.41517163600424867,0.08889929149940762,3.0,0,32.0
20,1,Robert Herjavec,0.5848283639957513,0.41517163600424867,0.0863208570932889,4.0,0,28.0
20,1,Chris Soules,0.5848283639957513,0.41517163600424867,0.08611107305379606,5.0,0,26.0
20,1,Michael Sam,0.5848283639957513,0.41517163600424867,0.08611107305379606,5.0,0,26.0
20,1,Noah Galloway,0.5848283639957513,0.41517163600424867,0.08611107305379606,5.0,0,26.0
20,1,Patti LaBelle,0.5848283639957513,0.41517163600424867,0.08119048494814918,8.0,0,25.0
20,1,Suzanne Somers,0.5848283639957513,0.41517163600424867,0.08119048494814918,8.0,0,25.0
20,1,Willow Shields,0.5848283639957513,0.41517163600424867,0.08119048494814918,8.0,0,25.0
20,1,Charlotte McKinney,0.5848283639957513,0.41517163600424867,0.07173802961634658,11.0,0,22.0
20,1,Redfoo,0.5848283639957513,0.41517163600424867,0.07173802961634658,11.0,0,22.0
20,2,Riker Lynch,0.5749679200850006,0.42503207991499936,0.08851039289733773,1.0,0,32.0
20,2,Rumer Willis,0.5749679200850006,0.42503207991499936,0.08851039289733773,1.0,0,32.0
20,2,Willow Shields,0.5749679200850006,0.42503207991499936,0.08851039289733773,1.0,0,32.0
20,2,Nastia Liukin,0.5749679200850006,0.42503207991499936,0.08764620938044998,4.0,0,34.0
20,2,Redfoo,0.5749679200850006,0.42503207991499936,0.08687646666485346,5.0,0,31.0
20,2,Robert Herjavec,0.5749679200850006,0.42503207991499936,0.08550187950226754,6.0,0,28.0
20,2,Patti LaBelle,0.5749679200850006,0.42503207991499936,0.08250484311647813,7.0,0,28.0
20,2,Suzanne Somers,0.5749679200850006,0.42503207991499936,0.08250484311647813,7.0,0,28.0
20,2,Michael Sam,0.5749679200850006,0.42503207991499936,0.08192677749403843,9.0,0,28.0
20,2,Noah Galloway,0.5749679200850006,0.42503207991499936,0.08162649662832248,10.0,0,27.0
20,2,Chris Soules,0.5749679200850006,0.42503207991499936,0.07753948387897583,12.0,1,21.0
20,2,Charlotte McKinney,0.5749679200850006,0.42503207991499936,0.06834182152600035,12.0,0,26.0
20,3,Nastia Liukin,0.5600829602692535,0.4399170397307465,0.10225826846262047,1.0,0,34.0
20,3,Riker Lynch,0.5600829602692535,0.4399170397307465,0.10225826846262047,1.0,0,34.0
20,3,Rumer Willis,0.5600829602692535,0.4399170397307465,0.10167313404743403,3.0,0,33.0
20,3,Willow Shields,0.5600829602692535,0.4399170397307465,0.09971976575095093,4.0,0,32.0
20,3,Robert Herjavec,0.5600829602692535,0.4399170397307465,0.09389748634159867,5.0,0,29.0
20,3,Noah Galloway,0.5600829602692535,0.4399170397307465,0.09371615453005237,6.0,0,30.0
20,3,Suzanne Somers,0.5600829602692535,0.4399170397307465,0.0883820795400446,7.0,0,25.0
20,3,Chris Soules,0.5600829602692535,0.4399170397307465,0.08647297891936565,8.0,0,28.0
20,3,Michael Sam,0.5600829602692535,0.4399170397307465,0.08171685011494736,9.0,0,24.0
20,3,Patti LaBelle,0.5600829602692535,0.4399170397307465,0.08117741834115363,10.0,0,22.0
20,3,Charlotte McKinney,0.5600829602692535,0.4399170397307465,0.0687275954890714,11.0,1,22.0
20,4,Nastia Liukin,0.5394118567930815,0.46058814320691854,0.111910539824186,1.0,0,36.0
20,4,Willow Shields,0.5394118567930815,0.46058814320691854,0.11118293631405028,2.0,0,39.0
20,4,Rumer Willis,0.5394118567930815,0.46058814320691854,0.10899966998647848,3.0,0,35.0
20,4,Riker Lynch,0.5394118567930815,0.46058814320691854,0.10804863777647401,4.0,0,34.0
20,4,Robert Herjavec,0.5394118567930815,0.46058814320691854,0.10484135993176044,5.0,0,34.0
20,4,Noah Galloway,0.5394118567930815,0.46058814320691854,0.0956750410676839,6.0,0,32.0
20,4,Michael Sam,0.5394118567930815,0.46058814320691854,0.09370154359781921,7.0,0,30.0
20,4,Patti LaBelle,0.5394118567930815,0.46058814320691854,0.09328952577004698,8.0,0,30.0
20,4,Suzanne Somers,0.5394118567930815,0.46058814320691854,0.08785040193990755,9.0,0,28.0
20,4,Chris Soules,0.5394118567930815,0.46058814320691854,0.08450034379145133,10.0,1,27.0
20,5,Nastia Liukin,0.5138002665136382,0.4861997334863618,0.12757970884611075,1.0,0,38.0
20,5,Riker Lynch,0.5138002665136382,0.4861997334863618,0.12757970884611075,1.0,0,38.0
20,5,Rumer Willis,0.5138002665136382,0.4861997334863618,0.12748218046080967,3.0,0,39.0
20,5,Willow Shields,0.5138002665136382,0.4861997334863618,0.12482995404464688,4.0,0,34.0
20,5,Noah Galloway,0.5138002665136382,0.4861997334863618,0.10382562747804844,5.0,0,28.0
20,5,Suzanne Somers,0.5138002665136382,0.4861997334863618,0.10291347635836157,6.0,0,28.0
20,5,Patti LaBelle,0.5138002665136382,0.4861997334863618,0.09752686835216638,7.0,0,27.0
20,5,Robert Herjavec,0.5138002665136382,0.4861997334863618,0.09563376069421912,9.0,1,24.0
20,5,Chris Soules,0.5138002665136382,0.4861997334863618,0.09262871491935462,9.0,0,27.0
20,6,Riker Lynch,0.4861997334863619,0.5138002665136381,0.1405524447135919,1.0,0,38.0
20,6,Willow Shields,0.4861997334863619,0.5138002665136381,0.13953683290917573,2.0,0,36.5
20,6,Nastia Liukin,0.4861997334863619,0.5138002665136381,0.13630022694063665,3.0,0,36.5
20,6,Rumer Willis,0.4861997334863619,0.5138002665136381,0.1330352340986712,4.0,0,35.5
